sku,handle,title,vendor,product_type,min_price,max_price,avg_price,currency,url,description,tags,created_at,updated_at,published_at
,dice-set-pearl-grey-black-acrylic,Pearl Grey / Black Acrylic Dice Set,Sirius Dice,Polyhedral Dice Set,8.99,8.99,8.99,,https://siriusdice.com/products/dice-set-pearl-grey-black-acrylic,"Set of 7 polyhedral dice plus 1 extra D20. Packaged in a flat-bottom tube, so you can easily carry and store your dice.  Style: Pearl Grey / Black Acrylic","cheap dice sets, dungeons and dragons dice, polyhedral dice",2021-01-20T18:40:33-05:00,2025-08-08T14:57:21-04:00,2021-01-20T18:40:33-05:00
,dice-set-polyroller,Polyroller Dice Set,Sirius Dice,Polyhedral Dice Set,15.99,15.99,15.99,,https://siriusdice.com/products/dice-set-polyroller,"Set of 7 polyhedral dice plus 1 extra D20. Packaged in a flat-bottom tube, so you can easily carry and store your dice. Style: Polyroller. Color: Blue Purple","Blue, blue dice, Dice, Pink, Purple, violet",2021-01-20T18:40:44-05:00,2025-08-08T14:57:24-04:00,2021-01-20T18:40:44-05:00
,dice-set-watermelon,Watermelon Dice Set,Sirius Dice,Polyhedral Dice Set,15.99,15.99,15.99,,https://siriusdice.com/products/dice-set-watermelon,"Set of 7 polyhedral dice plus 1 extra D20. Packaged in a flat-bottom tube, so you can easily carry and store your dice.  Style: Watermelon","Dice, green, Layered, Red",2021-01-20T18:40:44-05:00,2025-08-08T14:57:24-04:00,2021-01-20T18:40:44-05:00
,dice-set-peacock-glowworm,Peacock Glowworm Dice Set,Sirius Dice,Polyhedral Dice Set,10,10,10,,https://siriusdice.com/products/dice-set-peacock-glowworm,"Purple and teal glow-in-the-dark dice set. Set of 7 polyhedral dice plus 1 extra D20. Packaged in a flat-bottom tube, so you can easily carry and store your dice. Style: Peacock Glowworm","Blue, Dice, glow in the dark dice, glow in the dark dice set, Purple",2021-01-20T18:40:47-05:00,2025-08-08T14:57:25-04:00,2024-03-19T17:52:53-04:00
,dice-set-hearts,Hearts Dice Set,Sirius Dice,Polyhedral Dice Set,15.99,15.99,15.99,,https://siriusdice.com/products/dice-set-hearts,"Red hearts float amid glitter in clear and red layers of resin.  Set of 7 polyhedral dice plus 1 extra D20. Packaged in a flat-bottom tube, so you can easily carry and store your dice.
Style: Hearts","Dice, Filled, hearts, Red, Sparkle",2021-01-20T18:40:45-05:00,2025-08-08T14:57:24-04:00,2023-06-08T11:18:13-04:00
,dice-set-baby-gummies,Baby Gummies Dice Set,Sirius Dice,Polyhedral Dice Set,15.99,15.99,15.99,,https://siriusdice.com/products/dice-set-baby-gummies,"A set of dice in baby blue, pink, and purple, this set of 7 polyhedral dice plus 1 extra D20 is packaged in a flat-bottom tube, so you can easily carry and store your dice. Style: Baby Gummies.","bi pride, Blue, Dice, Pink, polyhedral dice, polyhedral dice set, pride dice",2021-01-20T18:40:43-05:00,2025-08-08T14:57:24-04:00,2023-08-21T18:38:14-04:00
,dice-set-spades,Spades Dice Set,Sirius Dice,Polyhedral Dice Set,15.99,15.99,15.99,,https://siriusdice.com/products/dice-set-spades,"Stylized spades float in layers of glittering clear and black resin.  Set of 7 polyhedral dice plus 1 extra D20. Packaged in a flat-bottom tube, so you can easily carry and store your dice.
Style: Spades","Black, Dice, Filled, spades",2021-01-20T18:40:45-05:00,2025-08-08T14:57:24-04:00,2023-06-08T11:18:22-04:00
,dice-set-purple-orange-clear,"Purple, Orange, Clear Dice Set",Sirius Dice,Polyhedral Dice Set,11.99,11.99,11.99,,https://siriusdice.com/products/dice-set-purple-orange-clear,"Set of 7 polyhedral dice plus 1 extra D20. Packaged in a flat-bottom tube, so you can easily carry and store your dice.  Style: Purple, Orange Clear","Dice, Orange, Purple",2021-01-20T18:40:39-05:00,2025-08-08T14:57:23-04:00,2021-01-20T18:40:39-05:00
,dice-set-violet-betta,Violet Betta Dice Set,Sirius Dice,Polyhedral Dice Set,15.99,15.99,15.99,,https://siriusdice.com/products/dice-set-violet-betta,"Set of 7 polyhedral dice plus 1 extra D20. Packaged in a flat-bottom tube, so you can easily carry and store your dice.  Style: Violet Betta","Blue, Dice, Purple, purple dice set, purple dnd dice set",2021-01-20T18:40:43-05:00,2025-08-08T14:57:24-04:00,2021-01-20T18:40:43-05:00
,dice-set-diamonds,Diamonds Dice Set,Sirius Dice,Polyhedral Dice Set,15.99,15.99,15.99,,https://siriusdice.com/products/dice-set-diamonds,"Diamonds float in layers of glistening clear and red resin.  Set of 7 polyhedral dice plus 1 extra D20. Packaged in a flat-bottom tube, so you can easily carry and store your dice.
Style: Diamonds","diamonds, Dice, Filled, polyhedral dice, polyhedral dice set, Red, Sparkle",2021-01-20T18:40:46-05:00,2025-08-08T14:57:24-04:00,2021-01-20T18:40:46-05:00
,dice-set-blue-hawaiian,Blue Hawaiian Dice Set,Sirius Dice,Polyhedral Dice Set,15.99,15.99,15.99,,https://siriusdice.com/products/dice-set-blue-hawaiian,"A set of dice: 7 polyhedral dice plus 1 extra D20. Packaged in a flat-bottom tube, so you can easily carry and store your dice. Style: Blue Hawaiian. Colors: Blue Green Dice.","Blue, Dice, green, polyhedral dice, polyhedral dice set, white",2021-01-20T18:40:47-05:00,2025-08-08T14:57:25-04:00,2021-01-20T18:40:47-05:00
,dice-set-clubs,Clubs Dice Set,Sirius Dice,Polyhedral Dice Set,15.99,15.99,15.99,,https://siriusdice.com/products/dice-set-clubs,"Twinkling black and clear resin hold three-leaf clovers.  Set of 7 polyhedral dice plus 1 extra D20. Packaged in a flat-bottom tube, so you can easily carry and store your dice.
Style: Clubs","Black, clubs, Dice, polyhedral dice, polyhedral dice set",2021-01-20T18:40:46-05:00,2025-08-08T14:57:25-04:00,2021-01-20T18:40:46-05:00
